time_ms,signal_V
1.380488400000000127e+02,-2.896346969309515629e-03
1.380549599999999941e+02,-2.709885924164268101e-03
1.380610800000000040e+02,-2.688254449618315833e-03
1.380672000000000139e+02,-2.954921119618314496e-03
1.380733199999999954e+02,-3.180431599148353383e-03
1.380794400000000053e+02,-3.231195862938962549e-03
1.380855599999999868e+02,-3.060354590567415656e-03
1.380916799999999967e+02,-2.934574452571864223e-03
1.380978000000000065e+02,-2.518543699225661570e-03
1.381039199999999880e+02,-2.945313047333697476e-03
1.381100399999999979e+02,-2.617143519280523689e-03
1.381161599999999794e+02,-2.669038304013077179e-03
1.381222799999999893e+02,-2.949372275777295549e-03
1.381283999999999992e+02,-2.913919214325655371e-03
1.381345200000000091e+02,-2.993148603417844500e-03
1.381406400000000190e+02,-2.411979707333700151e-03
1.381467600000000004e+02,-2.945313047333697476e-03
1.381528800000000103e+02,-2.678646377333698814e-03
1.381589999999999918e+02,-3.478646387333722556e-03
1.381651200000000017e+02,-3.128845385309469984e-03
1.381712400000000116e+02,-3.304567836439037398e-03
1.381773599999999931e+02,-2.669038304013077179e-03
1.381834800000000030e+02,-2.678800662433949986e-03
1.381895999999999844e+02,-3.194407472174753959e-03
1.381957199999999943e+02,-2.945313047333697476e-03
1.382018400000000042e+02,-2.741279756330206041e-03
1.382079599999999857e+02,-2.759006286589704704e-03
1.382140799999999956e+02,-2.691491728380623893e-03
1.382201999999999771e+02,-2.823283567069428956e-03
1.382263200000000154e+02,-2.479648550994167922e-03
1.382324400000000253e+02,-2.251209364370371224e-03
1.382385600000000068e+02,-2.935704974013075841e-03
1.382446800000000167e+02,-2.923013908065125177e-03
1.382507999999999981e+02,-2.674073768324292111e-03
1.382569200000000080e+02,-2.392763560692429126e-03
1.382630399999999895e+02,-3.133058899221885518e-03
1.382691599999999994e+02,-2.663489459835355344e-03
1.382752800000000093e+02,-2.525840206458379589e-03
1.382813999999999908e+02,-2.258197300617020842e-03
1.382875200000000007e+02,-2.471170999299387994e-03
1.382936399999999821e+02,-2.453444468776572185e-03
1.382997599999999920e+02,-2.969051277745937689e-03
1.383058800000000019e+02,-3.171132097123968707e-03
