% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 82.60 ms, time offset -156.6 ms, Normal acquisition mode, 28 averages
% Edge trigger: Channel B, level 90.00 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 90.0 mVpp, offset 91.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:16:39 -0500
% Time (s), Channel A (V), Channel B (V)
1.0790784000e-01, 1.7450000194e-01, 1.0423333449e-01
1.0791396000e-01, 1.7423333527e-01, 1.0423333449e-01
1.0792008000e-01, 1.7450000194e-01, 1.0423333449e-01
1.0792620000e-01, 1.7396666860e-01, 1.0426666783e-01
1.0793232000e-01, 1.7396666860e-01, 1.0426666783e-01
1.0793844000e-01, 1.7423333527e-01, 1.0426666783e-01
1.0794456000e-01, 1.7370000193e-01, 1.0430000116e-01
1.0795068000e-01, 1.7450000194e-01, 1.0430000116e-01
1.0795680000e-01, 1.7450000194e-01, 1.0430000116e-01
1.0796292000e-01, 1.7423333527e-01, 1.0433333449e-01
1.0796904000e-01, 1.7396666860e-01, 1.0433333449e-01
1.0797516000e-01, 1.7450000194e-01, 1.0433333449e-01
1.0798128000e-01, 1.7423333527e-01, 1.0436666783e-01
1.0798740000e-01, 1.7370000193e-01, 1.0436666783e-01
1.0799352000e-01, 1.7423333527e-01, 1.0436666783e-01
1.0799964000e-01, 1.7343333526e-01, 1.0440000116e-01
1.0800576000e-01, 1.7476666861e-01, 1.0440000116e-01
1.0801188000e-01, 1.7396666860e-01, 1.0440000116e-01
1.0801800000e-01, 1.7396666860e-01, 1.0443333449e-01
1.0802412000e-01, 1.7370000193e-01, 1.0443333449e-01
1.0803024000e-01, 1.7343333526e-01, 1.0443333449e-01
1.0803636000e-01, 1.7396666860e-01, 1.0446666783e-01
1.0804248000e-01, 1.7343333526e-01, 1.0446666783e-01
1.0804860000e-01, 1.7343333526e-01, 1.0446666783e-01
1.0805472000e-01, 1.7343333526e-01, 1.0450000116e-01
1.0806084000e-01, 1.7313333526e-01, 1.0450000116e-01
1.0806696000e-01, 1.7343333526e-01, 1.0450000116e-01
1.0807308000e-01, 1.7313333526e-01, 1.0453333450e-01
1.0807920000e-01, 1.7313333526e-01, 1.0453333450e-01
1.0808532000e-01, 1.7313333526e-01, 1.0453333450e-01
1.0809144000e-01, 1.7370000193e-01, 1.0456666783e-01
1.0809756000e-01, 1.7313333526e-01, 1.0456666783e-01
1.0810368000e-01, 1.7233333525e-01, 1.0456666783e-01
1.0810980000e-01, 1.7343333526e-01, 1.0460000116e-01
1.0811592000e-01, 1.7313333526e-01, 1.0460000116e-01
1.0812204000e-01, 1.7260000192e-01, 1.0460000116e-01
1.0812816000e-01, 1.7286666859e-01, 1.0463333450e-01
1.0813428000e-01, 1.7343333526e-01, 1.0463333450e-01
1.0814040000e-01, 1.7313333526e-01, 1.0463333450e-01
1.0814652000e-01, 1.7260000192e-01, 1.0466666783e-01
1.0815264000e-01, 1.7233333525e-01, 1.0466666783e-01
1.0815876000e-01, 1.7286666859e-01, 1.0466666783e-01
1.0816488000e-01, 1.7286666859e-01, 1.0470000116e-01
1.0817100000e-01, 1.7233333525e-01, 1.0470000116e-01
1.0817712000e-01, 1.7260000192e-01, 1.0470000116e-01
1.0818324000e-01, 1.7286666859e-01, 1.0473333450e-01
1.0818936000e-01, 1.7286666859e-01, 1.0473333450e-01
1.0819548000e-01, 1.7233333525e-01, 1.0473333450e-01
1.0820160000e-01, 1.7260000192e-01, 1.0476666783e-01
1.0820772000e-01, 1.7260000192e-01, 1.0476666783e-01
1.0821384000e-01, 1.7233333525e-01, 1.0476666783e-01
1.0821996000e-01, 1.7260000192e-01, 1.0480000117e-01
1.0822608000e-01, 1.7260000192e-01, 1.0480000117e-01
1.0823220000e-01, 1.7260000192e-01, 1.0480000117e-01
1.0823832000e-01, 1.7180000191e-01, 1.0483333450e-01
1.0824444000e-01, 1.7233333525e-01, 1.0483333450e-01
1.0825056000e-01, 1.7233333525e-01, 1.0483333450e-01
1.0825668000e-01, 1.7233333525e-01, 1.0486666783e-01
1.0826280000e-01, 1.7260000192e-01, 1.0486666783e-01
1.0826892000e-01, 1.7206666858e-01, 1.0486666783e-01
1.0827504000e-01, 1.7233333525e-01, 1.0490000117e-01
1.0828116000e-01, 1.7233333525e-01, 1.0490000117e-01
1.0828728000e-01, 1.7206666858e-01, 1.0490000117e-01
1.0829340000e-01, 1.7233333525e-01, 1.0493333450e-01
1.0829952000e-01, 1.7180000191e-01, 1.0493333450e-01
1.0830564000e-01, 1.7206666858e-01, 1.0493333450e-01
1.0831176000e-01, 1.7206666858e-01, 1.0496666783e-01
1.0831788000e-01, 1.7206666858e-01, 1.0496666783e-01
1.0832400000e-01, 1.7126666857e-01, 1.0496666783e-01
1.0833012000e-01, 1.7206666858e-01, 1.0500000117e-01
1.0833624000e-01, 1.7180000191e-01, 1.0500000117e-01
1.0834236000e-01, 1.7180000191e-01, 1.0500000117e-01
1.0834848000e-01, 1.7180000191e-01, 1.0503333450e-01
1.0835460000e-01, 1.7180000191e-01, 1.0503333450e-01
1.0836072000e-01, 1.7153333524e-01, 1.0503333450e-01
1.0836684000e-01, 1.7153333524e-01, 1.0506666783e-01
1.0837296000e-01, 1.7126666857e-01, 1.0506666783e-01
1.0837908000e-01, 1.7073333523e-01, 1.0506666783e-01
1.0838520000e-01, 1.7206666858e-01, 1.0510000117e-01
1.0839132000e-01, 1.7153333524e-01, 1.0510000117e-01
1.0839744000e-01, 1.7126666857e-01, 1.0510000117e-01
1.0840356000e-01, 1.7126666857e-01, 1.0513333450e-01
1.0840968000e-01, 1.7126666857e-01, 1.0513333450e-01
1.0841580000e-01, 1.7180000191e-01, 1.0513333450e-01
1.0842192000e-01, 1.7153333524e-01, 1.0516666784e-01
1.0842804000e-01, 1.7100000190e-01, 1.0516666784e-01
1.0843416000e-01, 1.7046666856e-01, 1.0516666784e-01
1.0844028000e-01, 1.7126666857e-01, 1.0520000117e-01
1.0844640000e-01, 1.7126666857e-01, 1.0520000117e-01
1.0845252000e-01, 1.7126666857e-01, 1.0520000117e-01
1.0845864000e-01, 1.7126666857e-01, 1.0520000117e-01
1.0846476000e-01, 1.7126666857e-01, 1.0523333450e-01
1.0847088000e-01, 1.7100000190e-01, 1.0523333450e-01
1.0847700000e-01, 1.7126666857e-01, 1.0523333450e-01
1.0848312000e-01, 1.7100000190e-01, 1.0526666784e-01
1.0848924000e-01, 1.7100000190e-01, 1.0526666784e-01
1.0849536000e-01, 1.7046666856e-01, 1.0526666784e-01
1.0850148000e-01, 1.7100000190e-01, 1.0530000117e-01
1.0850760000e-01, 1.7100000190e-01, 1.0530000117e-01
1.0851372000e-01, 1.7046666856e-01, 1.0530000117e-01
1.0851984000e-01, 1.7153333524e-01, 1.0533333450e-01
1.0852596000e-01, 1.7100000190e-01, 1.0533333450e-01
1.0853208000e-01, 1.7073333523e-01, 1.0533333450e-01
1.0853820000e-01, 1.7100000190e-01, 1.0536666784e-01
1.0854432000e-01, 1.7020000189e-01, 1.0536666784e-01
1.0855044000e-01, 1.7020000189e-01, 1.0536666784e-01
1.0855656000e-01, 1.7046666856e-01, 1.0540000117e-01
1.0856268000e-01, 1.7046666856e-01, 1.0540000117e-01
1.0856880000e-01, 1.7073333523e-01, 1.0540000117e-01
1.0857492000e-01, 1.7073333523e-01, 1.0543333451e-01
1.0858104000e-01, 1.7020000189e-01, 1.0543333451e-01
1.0858716000e-01, 1.7046666856e-01, 1.0543333451e-01
1.0859328000e-01, 1.7073333523e-01, 1.0546666784e-01
1.0859940000e-01, 1.7073333523e-01, 1.0546666784e-01
1.0860552000e-01, 1.7073333523e-01, 1.0546666784e-01
1.0861164000e-01, 1.7073333523e-01, 1.0550000117e-01
1.0861776000e-01, 1.7073333523e-01, 1.0550000117e-01
1.0862388000e-01, 1.7100000190e-01, 1.0550000117e-01
1.0863000000e-01, 1.7020000189e-01, 1.0553333451e-01
1.0863612000e-01, 1.7020000189e-01, 1.0553333451e-01
1.0864224000e-01, 1.7100000190e-01, 1.0553333451e-01
1.0864836000e-01, 1.7046666856e-01, 1.0556666784e-01
1.0865448000e-01, 1.7046666856e-01, 1.0556666784e-01
1.0866060000e-01, 1.7020000189e-01, 1.0556666784e-01
1.0866672000e-01, 1.7073333523e-01, 1.0560000117e-01
1.0867284000e-01, 1.7073333523e-01, 1.0560000117e-01
1.0867896000e-01, 1.7073333523e-01, 1.0560000117e-01
1.0868508000e-01, 1.7046666856e-01, 1.0563333451e-01
1.0869120000e-01, 1.7046666856e-01, 1.0563333451e-01
1.0869732000e-01, 1.7046666856e-01, 1.0563333451e-01
1.0870344000e-01, 1.7100000190e-01, 1.0566666784e-01
1.0870956000e-01, 1.7100000190e-01, 1.0566666784e-01
1.0871568000e-01, 1.7020000189e-01, 1.0566666784e-01
1.0872180000e-01, 1.7100000190e-01, 1.0570000118e-01
1.0872792000e-01, 1.7073333523e-01, 1.0570000118e-01
1.0873404000e-01, 1.7073333523e-01, 1.0570000118e-01
1.0874016000e-01, 1.7073333523e-01, 1.0573333451e-01
1.0874628000e-01, 1.7020000189e-01, 1.0573333451e-01
1.0875240000e-01, 1.7046666856e-01, 1.0573333451e-01
1.0875852000e-01, 1.7020000189e-01, 1.0576666784e-01
1.0876464000e-01, 1.7046666856e-01, 1.0576666784e-01
1.0877076000e-01, 1.6993333522e-01, 1.0576666784e-01
1.0877688000e-01, 1.7020000189e-01, 1.0580000118e-01
1.0878300000e-01, 1.7046666856e-01, 1.0580000118e-01
1.0878912000e-01, 1.7073333523e-01, 1.0580000118e-01
1.0879524000e-01, 1.6993333522e-01, 1.0583333451e-01
1.0880136000e-01, 1.7046666856e-01, 1.0583333451e-01
1.0880748000e-01, 1.7046666856e-01, 1.0583333451e-01
1.0881360000e-01, 1.7046666856e-01, 1.0586666784e-01
1.0881972000e-01, 1.7046666856e-01, 1.0586666784e-01
1.0882584000e-01, 1.7020000189e-01, 1.0586666784e-01
1.0883196000e-01, 1.7046666856e-01, 1.0590000118e-01
