% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 1 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 186.2 ms, time offset -178.9 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 1.200 0 Vpp, offset 21.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 15:36:45 -0500
% Time (s), Channel A (V), Channel B (V)
7.5427720000e-02, 1.3746666519e+00, -5.6836667299e-01
7.5440736000e-02, 1.3693333187e+00, -5.6866667299e-01
7.5453752000e-02, 1.3719999853e+00, -5.6900000633e-01
7.5466768000e-02, 1.3719999853e+00, -5.6930000633e-01
7.5479784000e-02, 1.3746666519e+00, -5.6963333967e-01
7.5492800000e-02, 1.3719999853e+00, -5.6993333967e-01
7.5505816000e-02, 1.3719999853e+00, -5.7023333967e-01
7.5518832000e-02, 1.3746666519e+00, -5.7056667301e-01
7.5531848000e-02, 1.3693333187e+00, -5.7086667301e-01
7.5544864000e-02, 1.3693333187e+00, -5.7116667302e-01
7.5557880000e-02, 1.3693333187e+00, -5.7150000635e-01
7.5570896000e-02, 1.3719999853e+00, -5.7180000636e-01
7.5583912000e-02, 1.3719999853e+00, -5.7210000636e-01
7.5596928000e-02, 1.3719999853e+00, -5.7243333970e-01
7.5609944000e-02, 1.3693333187e+00, -5.7273333970e-01
7.5622960000e-02, 1.3693333187e+00, -5.7303333970e-01
7.5635976000e-02, 1.3693333187e+00, -5.7336667304e-01
7.5648992000e-02, 1.3693333187e+00, -5.7366667304e-01
7.5662008000e-02, 1.3666666520e+00, -5.7396667305e-01
7.5675024000e-02, 1.3693333187e+00, -5.7430000638e-01
7.5688040000e-02, 1.3746666519e+00, -5.7463333972e-01
7.5701056000e-02, 1.3693333187e+00, -5.7493333973e-01
7.5714072000e-02, 1.3693333187e+00, -5.7523333973e-01
7.5727088000e-02, 1.3666666520e+00, -5.7556667307e-01
7.5740104000e-02, 1.3719999853e+00, -5.7586667307e-01
