% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 257.6 ms, time offset -123.3 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level -2.263 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 53.0 mVpp, offset -149.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:30:10 -0500
% Time (s), Channel A (V), Channel B (V)
-1.9016448000e-02, 7.4733334164e-02, -1.4756666831e-01
-1.8998440000e-02, 7.5266667503e-02, -1.4756666831e-01
-1.8980432000e-02, 7.5266667503e-02, -1.4753333497e-01
-1.8962424000e-02, 7.5266667503e-02, -1.4753333497e-01
-1.8944416000e-02, 7.5000000834e-02, -1.4750000164e-01
-1.8926408000e-02, 7.4733334164e-02, -1.4750000164e-01
-1.8908400000e-02, 7.5566667507e-02, -1.4746666831e-01
-1.8890392000e-02, 7.5266667503e-02, -1.4743333497e-01
-1.8872384000e-02, 7.5266667503e-02, -1.4743333497e-01
-1.8854376000e-02, 7.5266667503e-02, -1.4740000164e-01
-1.8836368000e-02, 7.5000000834e-02, -1.4740000164e-01
-1.8818360000e-02, 7.5000000834e-02, -1.4736666831e-01
-1.8800352000e-02, 7.5266667503e-02, -1.4736666831e-01
-1.8782344000e-02, 7.5266667503e-02, -1.4733333497e-01
-1.8764336000e-02, 7.5266667503e-02, -1.4730000164e-01
-1.8746328000e-02, 7.5266667503e-02, -1.4730000164e-01
-1.8728320000e-02, 7.5266667503e-02, -1.4726666830e-01
-1.8710312000e-02, 7.4733334164e-02, -1.4726666830e-01
-1.8692304000e-02, 7.4733334164e-02, -1.4723333497e-01
-1.8674296000e-02, 7.5266667503e-02, -1.4723333497e-01
-1.8656288000e-02, 7.5266667503e-02, -1.4720000164e-01
-1.8638280000e-02, 7.5266667503e-02, -1.4716666830e-01
-1.8620272000e-02, 7.5000000834e-02, -1.4716666830e-01
-1.8602264000e-02, 7.5000000834e-02, -1.4713333497e-01
-1.8584256000e-02, 7.5266667503e-02, -1.4713333497e-01
-1.8566248000e-02, 7.5266667503e-02, -1.4710000164e-01
-1.8548240000e-02, 7.5266667503e-02, -1.4710000164e-01
-1.8530232000e-02, 7.5266667503e-02, -1.4706666830e-01
-1.8512224000e-02, 7.4733334164e-02, -1.4703333497e-01
-1.8494216000e-02, 7.5566667507e-02, -1.4703333497e-01
-1.8476208000e-02, 7.5266667503e-02, -1.4700000163e-01
-1.8458200000e-02, 7.4733334164e-02, -1.4700000163e-01
-1.8440192000e-02, 7.5566667507e-02, -1.4696666830e-01
-1.8422184000e-02, 7.5000000834e-02, -1.4696666830e-01
-1.8404176000e-02, 7.5266667503e-02, -1.4693333497e-01
-1.8386168000e-02, 7.5000000834e-02, -1.4690000163e-01
-1.8368160000e-02, 7.5000000834e-02, -1.4690000163e-01
-1.8350152000e-02, 7.5000000834e-02, -1.4686666830e-01
-1.8332144000e-02, 7.5000000834e-02, -1.4686666830e-01
-1.8314136000e-02, 7.5000000834e-02, -1.4683333497e-01
-1.8296128000e-02, 7.5000000834e-02, -1.4683333497e-01
-1.8278120000e-02, 7.5266667503e-02, -1.4680000163e-01
-1.8260112000e-02, 7.5833334176e-02, -1.4676666830e-01
-1.8242104000e-02, 7.5266667503e-02, -1.4676666830e-01
-1.8224096000e-02, 7.5266667503e-02, -1.4673333496e-01
-1.8206088000e-02, 7.5266667503e-02, -1.4673333496e-01
-1.8188080000e-02, 7.5266667503e-02, -1.4670000163e-01
-1.8170072000e-02, 7.5266667503e-02, -1.4670000163e-01
-1.8152064000e-02, 7.5566667507e-02, -1.4666666830e-01
-1.8134056000e-02, 7.5833334176e-02, -1.4663333496e-01
-1.8116048000e-02, 7.5566667507e-02, -1.4663333496e-01
-1.8098040000e-02, 7.5266667503e-02, -1.4660000163e-01
-1.8080032000e-02, 7.5566667507e-02, -1.4660000163e-01
-1.8062024000e-02, 7.5566667507e-02, -1.4656666830e-01
-1.8044016000e-02, 7.5566667507e-02, -1.4656666830e-01
-1.8026008000e-02, 7.5266667503e-02, -1.4653333496e-01
-1.8008000000e-02, 7.4733334164e-02, -1.4650000163e-01
-1.7989992000e-02, 7.5566667507e-02, -1.4650000163e-01
-1.7971984000e-02, 7.5566667507e-02, -1.4646666830e-01
-1.7953976000e-02, 7.5266667503e-02, -1.4646666830e-01
