sample_index,intensity_counts,fitted_counts,residual_counts
432,121,114.9132565,6.086743497
433,121,115.262387,5.737612959
434,121,115.611339,5.388661022
435,120,115.9601109,4.039889058
436,119,116.3087016,2.691298439
437,117,116.6571095,0.3428905386
438,117,117.0053333,-0.005333268478
439,114,117.3533716,-3.353371608
440,113,117.7012231,-4.701223105
441,109,118.0488864,-9.048886385
442,111,118.3963601,-7.39636007
443,107,118.7436428,-11.74364278
444,109,119.0907332,-10.09073315
445,109,119.4376298,-10.43762979
446,111,119.7843313,-8.784331335
447,111,120.1308364,-9.130836393
448,117,120.4771436,-3.477143592
449,119,120.8232516,-1.823251551
450,129,121.1691589,7.830841109
451,136,121.5148642,14.48513577
452,142,121.8603662,20.13963381
453,146,122.2056634,23.79433661
454,152,122.5507545,29.44924555
455,156,122.895638,33.10436201
456,163,123.2403126,39.75968738
457,167,123.584777,43.41522304
458,174,123.9290296,50.07097037
459,175,124.2730692,50.72693075
460,179,124.6168944,54.38310558
461,181,124.9605038,56.03949622
462,185,125.3038959,59.69610407
463,185,125.6470695,59.3529305
464,184,125.9900231,58.00997692
465,185,126.3327553,58.66724469
466,187,126.6752648,60.32473521
467,185,127.0175501,57.98244986
468,181,127.35961,53.64039002
469,181,127.7014429,53.29855709
470,182,128.0430475,53.95695245
471,181,128.3844225,52.61557749
472,180,128.7255664,51.27443358
473,181,129.0664779,51.93352213
474,181,129.4071555,51.59284452
475,180,129.7475979,50.25240212
476,181,130.0878037,50.91219635
477,180,130.4277714,49.57222857
478,181,130.7674998,50.23250018
479,180,131.1069874,48.89301257
480,178,131.4462329,46.55376712
481,180,131.7852348,48.21476522
482,177,132.1239917,44.87600827
483,173,132.4625023,40.53749765
484,164,132.8007652,31.19923475
485,159,133.138779,25.86122096
486,147,133.4765423,13.52345767
487,140,133.8140537,6.185946259
488,134,134.1513119,-0.1513118703
489,131,134.4883153,-3.488315334
490,126,134.8250627,-8.825062741
491,125,135.1615527,-10.1615527
492,123,135.4977838,-12.49778383
493,125,135.8337547,-10.83375474
494,123,136.169464,-13.16946402
495,126,136.5049103,-10.50491031
496,129,136.8400922,-7.840092204
497,129,137.1750083,-8.175008315
498,135,137.5096573,-2.509657252
499,138,137.8440376,0.1559623719
500,136,138.1781481,-2.178148052
501,135,138.5119871,-3.511987135
502,127,138.8455535,-11.84555349
503,123,139.1788457,-16.17884572
504,113,139.5118624,-26.51186244
505,107,139.8446023,-32.84460227
506,98,140.1770638,-42.1770638
507,93,140.5092457,-47.50924566
508,85,140.8411465,-55.84114645
509,83,141.1727648,-58.17276479
510,77,141.5040993,-64.50409928
511,77,141.8351485,-64.83514855
512,77,142.1659112,-65.16591119
513,85,142.4963858,-57.49638582
514,90,142.8265711,-52.82657105
515,100,143.1564655,-43.1564655
516,105,143.4860678,-38.48606777
517,112,143.8153765,-31.81537649
518,119,144.1443903,-25.14439025
519,121,144.4731077,-23.47310768
520,125,144.8015274,-19.80152739
521,127,145.129648,-18.12964799
522,129,145.4574681,-16.45746809
523,132,145.7849863,-13.78498631
524,135,146.1122013,-11.11220126
525,142,146.4391116,-4.439111557
526,147,146.7657158,0.2342841847
527,153,147.0920126,5.907987352
528,155,147.4180007,7.581999328
529,163,147.7436785,15.2563215
530,165,148.0690448,16.93095525
531,171,148.394098,22.60590196
532,174,148.718837,25.28116302
533,175,149.0432602,25.9567398
534,175,149.3673663,25.6326337
535,179,149.6911539,29.3088461
536,181,150.0146216,30.98537837
537,184,150.3377681,33.6622319
538,185,150.6605919,34.33940807
539,187,150.9830917,36.01690826
540,189,151.3052661,37.69473385
541,191,151.6271138,39.37288623
542,191,151.9486332,39.05136677
543,189,152.2698232,36.73017684
544,189,152.5906822,36.40931784
545,192,152.9112089,39.08879114
546,192,153.2314019,38.76859811
547,196,153.5512599,42.44874014
548,199,153.8707814,45.12921859
549,201,154.1899651,46.81003486
550,203,154.5088097,48.4911903
551,207,154.8273137,52.17268631
552,207,155.1454758,51.85452424
553,207,155.4632945,51.53670549
554,207,155.7807686,51.21923142
555,208,156.0978966,51.9021034
556,207,156.4146772,50.58532281
557,211,156.731109,54.26889101
558,213,157.0471906,55.95280939
559,215,157.3629207,57.63707931
560,215,157.6782979,57.32170215
561,215,157.9933207,57.00667926
562,215,158.307988,56.69201203
563,215,158.6222982,56.37770181
564,215,158.93625,56.06374998
565,214,159.2498421,54.75015791
566,212,159.563073,52.43692695
567,207,159.8759415,47.12405848
568,205,160.1884461,44.81155387
569,203,160.5005855,42.49941446
570,203,160.8123584,42.18764164
571,201,161.1237632,39.87623676
572,201,161.4347988,39.56520119
573,201,161.7454637,39.25453628
574,199,162.0557566,36.9442434
575,197,162.3656761,34.6343239
576,196,162.6752208,33.32477915
577,192,162.9843895,29.01561051
578,189,163.2931807,25.70681932
579,185,163.601593,21.39840696
580,181,163.9096252,17.09037477
581,177,164.2172759,12.78272411
582,175,164.5245437,10.47545634
583,170,164.8314272,5.168572806
584,164,165.1379251,-1.137925138
585,158,165.4440361,-7.444036138
586,153,165.7497588,-12.74975884
587,152,166.0550919,-14.05509191
588,151,166.360034,-15.36003398
589,152,166.6645837,-14.6645837
590,152,166.9687397,-14.96873974
591,160,167.2725007,-7.27250074
592,165,167.5758654,-2.575865359
593,170,167.8788323,2.121167748
594,172,168.1814001,3.818599926
595,175,168.4835675,6.516432516
596,177,168.7853331,8.214666862
597,180,169.0866957,10.9133043
598,180,169.3876538,10.61234618
599,181,169.6882062,11.31179383
600,180,169.9883514,10.0116486
601,184,170.2880882,13.71191181
602,185,170.5874152,14.41258481
603,188,170.8863311,17.11366893
604,189,171.1848345,17.8151655
605,189,171.4829241,17.51707586
606,188,171.7805987,16.21940134
607,188,172.0778567,15.92214327
608,188,172.374697,15.62530297
609,189,172.6711182,16.32888179
610,189,172.967119,16.03288104
611,192,173.262698,18.73730205
612,192,173.5578539,18.44214614
613,194,173.8525854,20.14741465
614,197,174.1468911,22.85310888
615,200,174.4407698,25.55923018
616,201,174.7342202,26.26577984
617,201,175.0272408,25.97275921
618,200,175.3198304,24.68016958
619,200,175.6119877,24.38801229
620,200,175.9037114,24.09628864
621,201,176.1950001,24.80499995
622,201,176.4858525,24.51414753
623,203,176.7762673,26.2237327
624,206,177.0662432,28.93375677
625,207,177.355779,29.64422104
626,208,177.6448732,30.35512683
627,207,177.9335246,29.06647544
628,207,178.2217318,28.77826818
629,208,178.5094937,29.49050635
630,210,178.7968087,31.20319126
631,213,179.0836758,33.9163242
632,215,179.3700935,35.62990648
633,214,179.6560606,34.3439394
634,215,179.9415757,35.05842426
635,217,180.2266376,36.77336235
636,220,180.511245,39.48875497
637,220,180.7953966,39.20460341
638,219,181.079091,37.92090896
639,219,181.3623271,37.63767292
640,219,181.6451034,37.35489658
641,222,181.9274188,40.07258122
642,222,182.2092719,39.79072813
643,226,182.4906614,43.50933859
644,227,182.7715861,44.2284139
645,224,183.0520447,40.94795533
646,222,183.3320358,38.66796417
647,221,183.6115583,37.38844169
648,221,183.8906108,37.10938917
649,219,184.1691921,34.83080789
650,215,184.4473009,30.55269913
651,213,184.7249358,28.27506416
652,211,185.0020958,25.99790424
653,207,185.2787793,21.72122066
654,206,185.5549853,20.44501468
655,203,185.8307124,17.16928757
656,201,186.1059594,14.8940406
657,197,186.380725,10.61927502
658,194,186.6550079,7.34499211
659,189,186.9288069,2.071193121
660,188,187.2021207,0.797879317
661,186,187.474948,-1.474948045
662,186,187.7472877,-1.747287707
663,184,188.0191384,-4.019138415
664,181,188.2904989,-7.290498915
665,180,188.561368,-8.561367956
666,180,188.8317443,-8.831744286
667,178,189.1016267,-11.10162666
668,178,189.3710138,-11.37101383
669,180,189.6399045,-9.639904542
670,181,189.9082976,-8.908297565
671,180,190.1761917,-10.17619165
672,180,190.4435856,-10.44358556
673,181,190.7104781,-9.71047806
674,181,190.9768679,-9.976867906
675,179,191.2427539,-12.24275387
676,175,191.5081347,-16.50813471
677,171,191.7730092,-20.7730092
678,168,192.0373761,-24.03737611
679,165,192.3012342,-27.30123421
680,164,192.5645823,-28.56458228
681,165,192.8274191,-27.82741909
682,167,193.0897434,-26.08974342
683,173,193.351554,-20.35155404
684,177,193.6128497,-16.61284975
685,182,193.8736293,-11.87362931
686,184,194.1338915,-10.13389153
687,185,194.3936352,-9.393635175
688,185,194.652859,-9.652859044
689,181,194.9115619,-13.91156192
690,179,195.1697426,-16.16974261
691,174,195.4273999,-21.42739989
692,172,195.6845326,-23.68453257
693,168,195.9411394,-27.94113944
694,167,196.1972193,-29.1972193
695,164,196.452771,-32.45277095
696,165,196.7077932,-31.7077932
697,168,196.9622849,-28.96228486
698,170,197.2162447,-27.21624472
699,170,197.4696716,-27.4696716
700,170,197.7225643,-27.72256431
701,168,197.9749217,-29.97492167
702,168,198.2267425,-30.22674249
703,168,198.4780256,-30.47802558
704,170,198.7287698,-28.72876977
705,168,198.9789739,-30.97897387
706,168,199.2286367,-31.22863672
707,164,199.4777571,-35.47775713
708,165,199.7263339,-34.72633394
709,164,199.974366,-35.97436597
710,165,200.2218521,-35.22185206
711,167,200.468791,-33.46879103
712,170,200.7151817,-30.71518173
713,171,200.961023,-29.96102299
714,172,201.2063136,-29.20631365
715,174,201.4510526,-27.45105255
716,175,201.6952385,-26.69523854
717,175,201.9388705,-26.93887047
718,175,202.1819472,-27.18194718
